raceId,weather_condition,humidity,wmo_code
207,dry,67.66666666666667,0.0
141,dry,87.33333333333333,0.0
1,dry,52.666666666666664,0.0
18,dry,18.0,0.0
191,dry,82.66666666666667,0.0
338,dry,57.0,3.0
224,dry,81.33333333333333,0.0
841,dry,65.33333333333333,2.0
108,dry,87.66666666666667,2.0
36,dry,43.333333333333336,0.0
158,dry,77.33333333333333,0.0
175,dry,71.33333333333333,1.0
124,dry,77.66666666666667,2.0
55,dry,72.66666666666667,3.0
71,dry,80.66666666666667,1.0
90,dry,71.0,3.0
860,dry,56.333333333333336,0.0
1076,dry,42.0,0.0
948,dry,45.333333333333336,2.0
880,dry,52.333333333333336,3.0
969,dry,64.0,1.0
926,dry,48.0,0.0
900,dry,46.666666666666664,2.0
19,rain,78.0,53.0
91,dry,87.0,1.0
989,dry,40.666666666666664,1.0
37,rain,77.66666666666667,61.0
1010,dry,48.333333333333336,0.0
54,dry,90.66666666666667,2.0
1100,dry,57.0,1.0
72,dry,79.0,1.0
2,rain,89.66666666666667,63.0
109,rain,79.66666666666667,51.0
174,dry,86.33333333333333,1.0
142,dry,83.66666666666667,1.0
881,rain,77.66666666666667,51.0
339,dry,73.0,2.0
189,dry,85.66666666666667,1.0
125,rain,84.33333333333333,53.0
927,dry,63.333333333333336,2.0
861,rain,81.33333333333333,51.0
842,rain,84.0,61.0
51,rain,93.66666666666667,63.0
3,rain,89.33333333333333,53.0
963,dry,62.0,1.0
983,rain,72.33333333333333,53.0
34,rain,75.66666666666667,53.0
901,rain,69.66666666666667,51.0
68,dry,87.33333333333333,3.0
340,dry,78.0,3.0
105,dry,88.66666666666667,2.0
89,dry,69.33333333333333,0.0
928,dry,47.666666666666664,0.0
843,dry,27.0,1.0
882,dry,52.333333333333336,0.0
862,dry,61.666666666666664,1.0
903,dry,68.33333333333333,3.0
970,dry,74.0,3.0
991,dry,34.0,0.0
950,dry,42.0,1.0
38,dry,61.333333333333336,0.0
1012,dry,55.333333333333336,2.0
4,dry,35.0,0.0
20,dry,55.333333333333336,0.0
53,dry,51.0,0.0
92,dry,54.333333333333336,1.0
883,dry,59.666666666666664,0.0
863,dry,62.333333333333336,0.0
337,dry,49.333333333333336,0.0
971,dry,69.0,0.0
73,dry,41.0,0.0
902,dry,54.333333333333336,0.0
1011,dry,58.666666666666664,1.0
990,dry,75.33333333333333,0.0
1046,dry,68.0,1.0
929,dry,53.666666666666664,0.0
1074,dry,57.0,0.0
1045,dry,68.66666666666667,0.0
1052,dry,51.0,0.0
949,dry,53.0,0.0
58,dry,57.0,1.0
230,rain,91.33333333333333,55.0
128,dry,67.0,3.0
162,dry,70.33333333333333,2.0
112,dry,40.333333333333336,0.0
1098,dry,62.333333333333336,0.0
145,dry,64.66666666666667,3.0
21,dry,44.333333333333336,1.0
39,dry,49.0,1.0
94,dry,56.0,1.0
212,rain,48.666666666666664,51.0
195,dry,43.333333333333336,1.0
75,dry,57.666666666666664,0.0
243,dry,49.333333333333336,0.0
179,dry,52.0,1.0
5,dry,68.33333333333333,3.0
845,dry,44.333333333333336,0.0
292,dry,55.0,3.0
930,dry,46.666666666666664,1.0
1036,dry,59.333333333333336,1.0
884,dry,67.0,3.0
341,dry,73.33333333333333,3.0
1055,dry,67.33333333333333,2.0
1014,dry,57.666666666666664,0.0
318,rain,65.66666666666667,51.0
993,dry,65.0,1.0
864,dry,68.33333333333333,2.0
952,dry,70.0,1.0
973,dry,59.333333333333336,0.0
277,dry,57.666666666666664,0.0
261,dry,62.0,1.0
904,dry,66.33333333333333,3.0
23,rain,80.66666666666667,53.0
1079,dry,29.666666666666668,0.0
6,dry,63.0,0.0
147,dry,68.66666666666667,1.0
59,dry,81.33333333333333,1.0
40,dry,83.0,2.0
1105,rain,77.66666666666667,51.0
76,dry,67.33333333333333,0.0
130,dry,74.0,1.0
229,rain,90.66666666666667,55.0
196,rain,84.0,51.0
164,dry,74.33333333333333,0.0
95,rain,82.33333333333333,53.0
114,rain,88.0,51.0
178,rain,81.0,51.0
211,dry,55.666666666666664,3.0
260,dry,75.0,1.0
244,dry,76.33333333333333,0.0
278,dry,75.66666666666667,2.0
294,dry,76.66666666666667,1.0
407,dry,80.66666666666667,1.0
342,dry,66.66666666666667,2.0
374,rain,85.0,51.0
308,dry,79.33333333333333,1.0
324,rain,78.66666666666667,51.0
358,dry,57.0,2.0
441,rain,91.33333333333333,63.0
456,dry,74.33333333333333,2.0
488,dry,66.33333333333333,1.0
472,dry,75.33333333333333,1.0
423,dry,75.0,2.0
391,dry,81.0,1.0
565,rain,84.33333333333333,51.0
518,dry,86.66666666666667,2.0
531,rain,83.33333333333333,51.0
595,dry,67.33333333333333,1.0
580,rain,74.66666666666667,53.0
503,rain,81.33333333333333,51.0
548,rain,73.66666666666667,51.0
669,dry,74.66666666666667,1.0
623,dry,65.33333333333333,3.0
690,dry,78.33333333333333,0.0
610,dry,79.0,1.0
634,rain,86.66666666666667,61.0
645,rain,88.33333333333333,53.0
680,dry,76.33333333333333,2.0
658,rain,78.33333333333333,51.0
700,dry,68.0,3.0
709,dry,68.0,0.0
719,dry,71.33333333333333,0.0
738,dry,76.66666666666667,1.0
730,rain,56.0,51.0
793,dry,51.666666666666664,0.0
756,dry,59.0,1.0
777,dry,68.0,1.0
766,dry,56.666666666666664,0.0
905,dry,71.0,3.0
834,dry,59.333333333333336,0.0
865,dry,78.33333333333333,3.0
885,dry,58.333333333333336,0.0
747,rain,85.66666666666667,51.0
785,dry,56.666666666666664,1.0
846,dry,68.33333333333333,0.0
931,dry,73.66666666666667,2.0
953,rain,88.33333333333333,53.0
974,dry,68.0,0.0
1056,dry,50.333333333333336,0.0
994,dry,72.33333333333333,1.0
1015,rain,75.33333333333333,53.0
84,dry,64.66666666666667,1.0
66,dry,46.0,0.0
1104,rain,78.33333333333333,51.0
22,dry,52.0,2.0
7,dry,35.0,0.0
47,dry,30.666666666666668,0.0
1044,rain,76.66666666666667,51.0
1080,rain,77.33333333333333,53.0
343,dry,50.333333333333336,0.0
844,dry,58.666666666666664,0.0
1067,dry,76.33333333333333,3.0
8,dry,61.666666666666664,3.0
26,rain,87.66666666666667,55.0
44,dry,52.333333333333336,1.0
81,dry,51.333333333333336,0.0
60,dry,59.0,1.0
133,dry,76.33333333333333,3.0
118,dry,43.333333333333336,2.0
151,dry,49.666666666666664,2.0
199,dry,86.66666666666667,3.0
100,rain,68.33333333333333,51.0
247,dry,60.0,2.0
215,dry,68.66666666666667,1.0
182,dry,57.0,0.0
233,rain,67.66666666666667,51.0
161,rain,54.333333333333336,51.0
264,dry,53.333333333333336,0.0
281,dry,56.333333333333336,2.0
297,dry,58.666666666666664,3.0
328,dry,43.0,1.0
363,dry,61.0,3.0
346,dry,33.666666666666664,1.0
312,dry,58.666666666666664,3.0
379,dry,79.0,3.0
394,rain,59.0,51.0
491,rain,53.333333333333336,51.0
552,rain,56.0,51.0
460,dry,49.333333333333336,1.0
520,dry,53.333333333333336,3.0
427,dry,52.0,2.0
613,rain,65.33333333333333,51.0
585,rain,79.33333333333333,51.0
637,dry,46.333333333333336,3.0
661,dry,69.66666666666667,3.0
684,dry,47.0,3.0
703,rain,60.333333333333336,51.0
723,dry,55.666666666666664,2.0
771,dry,52.0,1.0
789,dry,78.66666666666667,3.0
868,rain,81.0,51.0
849,dry,68.0,1.0
887,dry,58.0,1.0
752,dry,64.33333333333333,3.0
908,dry,47.333333333333336,2.0
829,dry,54.0,2.0
821,rain,55.0,51.0
813,dry,64.33333333333333,1.0
803,rain,83.0,51.0
833,dry,62.666666666666664,0.0
934,dry,50.333333333333336,2.0
957,dry,74.66666666666667,1.0
998,dry,34.666666666666664,0.0
978,dry,79.0,3.0
1019,dry,59.333333333333336,3.0
1034,dry,41.0,1.0
1035,dry,55.333333333333336,0.0
1061,dry,49.333333333333336,0.0
1083,dry,54.333333333333336,2.0
9,dry,74.66666666666667,3.0
57,dry,49.333333333333336,2.0
77,dry,64.0,1.0
45,dry,54.0,1.0
116,dry,44.333333333333336,1.0
96,dry,39.0,2.0
132,dry,55.0,3.0
149,dry,50.0,0.0
221,dry,57.333333333333336,1.0
163,rain,81.0,51.0
205,dry,70.0,3.0
253,rain,95.33333333333333,51.0
227,rain,72.0,51.0
428,dry,63.0,3.0
450,dry,59.0,2.0
569,rain,52.0,51.0
615,dry,64.33333333333333,3.0
600,rain,80.66666666666667,51.0
638,dry,46.0,3.0
586,dry,47.0,0.0
627,dry,60.0,1.0
188,rain,63.333333333333336,51.0
705,dry,71.33333333333333,1.0
695,rain,77.33333333333333,53.0
685,dry,45.666666666666664,1.0
662,dry,58.333333333333336,1.0
714,rain,55.666666666666664,51.0
674,rain,96.33333333333333,61.0
724,rain,62.0,51.0
734,rain,92.33333333333333,61.0
743,dry,57.666666666666664,2.0
772,dry,55.333333333333336,3.0
790,rain,81.33333333333333,53.0
781,dry,57.333333333333336,0.0
814,rain,59.0,51.0
822,dry,43.333333333333336,1.0
804,dry,67.33333333333333,3.0
830,dry,54.666666666666664,3.0
850,rain,81.66666666666667,51.0
888,dry,50.666666666666664,0.0
1041,dry,60.0,1.0
28,dry,53.666666666666664,0.0
46,dry,44.666666666666664,3.0
10,dry,33.666666666666664,0.0
65,dry,75.33333333333333,1.0
83,dry,39.666666666666664,0.0
102,dry,36.333333333333336,0.0
120,dry,31.333333333333332,0.0
153,dry,45.333333333333336,0.0
169,dry,33.333333333333336,0.0
185,dry,57.666666666666664,2.0
136,dry,44.0,0.0
202,dry,44.0,2.0
217,dry,37.333333333333336,0.0
249,dry,34.333333333333336,0.0
235,dry,40.666666666666664,2.0
266,dry,31.333333333333332,0.0
330,dry,39.0,1.0
348,dry,57.333333333333336,0.0
299,dry,37.333333333333336,0.0
283,dry,24.0,0.0
314,dry,50.333333333333336,3.0
365,dry,63.0,2.0
381,dry,48.666666666666664,3.0
396,dry,47.666666666666664,1.0
414,dry,42.333333333333336,0.0
851,dry,75.66666666666667,3.0
870,dry,40.333333333333336,0.0
890,dry,28.333333333333332,0.0
910,rain,67.66666666666667,53.0
958,dry,58.333333333333336,0.0
979,dry,43.0,0.0
936,dry,29.666666666666668,1.0
1000,dry,39.666666666666664,0.0
1021,dry,39.666666666666664,1.0
1033,rain,73.66666666666667,51.0
1062,rain,42.333333333333336,51.0
1086,rain,75.66666666666667,51.0
11,dry,32.0,0.0
12,dry,54.333333333333336,3.0
345,dry,28.666666666666668,0.0
848,dry,35.666666666666664,0.0
29,dry,49.666666666666664,0.0
867,dry,38.0,0.0
30,dry,85.33333333333333,3.0
86,rain,97.0,51.0
49,dry,63.0,1.0
103,dry,59.666666666666664,2.0
137,dry,63.0,3.0
154,dry,78.33333333333333,3.0
186,dry,60.0,3.0
170,rain,89.33333333333333,53.0
203,rain,91.0,51.0
218,dry,60.333333333333336,0.0
236,rain,77.0,51.0
250,dry,83.0,3.0
267,dry,53.0,3.0
300,dry,74.0,3.0
315,dry,53.0,0.0
284,dry,51.666666666666664,3.0
349,rain,83.0,51.0
331,dry,67.33333333333333,1.0
366,rain,90.33333333333333,63.0
382,dry,65.33333333333333,0.0
390,dry,49.666666666666664,3.0
432,rain,87.66666666666667,51.0
408,dry,58.666666666666664,0.0
646,dry,63.0,3.0
457,dry,60.333333333333336,3.0
670,dry,60.333333333333336,3.0
682,dry,72.0,3.0
691,rain,92.0,53.0
720,rain,72.0,53.0
731,rain,61.0,51.0
701,rain,81.0,51.0
740,dry,76.0,3.0
711,dry,60.0,3.0
750,rain,73.66666666666667,51.0
769,dry,44.0,0.0
787,dry,77.66666666666667,3.0
852,dry,68.66666666666667,3.0
819,rain,61.0,53.0
811,dry,49.0,1.0
795,dry,55.333333333333336,3.0
801,rain,70.33333333333333,51.0
827,rain,77.33333333333333,51.0
837,dry,53.0,1.0
871,dry,58.333333333333336,1.0
891,rain,75.33333333333333,51.0
911,rain,56.0,51.0
937,dry,47.333333333333336,1.0
980,dry,67.0,1.0
960,dry,67.0,0.0
1001,dry,40.666666666666664,3.0
1022,dry,59.0,2.0
1037,dry,59.0,2.0
1087,dry,43.666666666666664,0.0
1063,rain,94.66666666666667,51.0
13,dry,38.333333333333336,0.0
31,rain,80.33333333333333,53.0
48,dry,47.333333333333336,0.0
67,dry,48.333333333333336,0.0
85,dry,71.33333333333333,2.0
121,dry,44.0,0.0
155,dry,47.333333333333336,0.0
138,dry,47.666666666666664,0.0
104,dry,66.33333333333333,2.0
171,dry,47.0,0.0
187,dry,52.333333333333336,0.0
204,dry,54.666666666666664,1.0
219,dry,58.333333333333336,0.0
251,dry,70.0,3.0
237,dry,43.333333333333336,0.0
268,dry,62.666666666666664,2.0
301,dry,47.666666666666664,0.0
285,dry,62.0,0.0
316,dry,45.0,0.0
332,dry,43.333333333333336,1.0
350,dry,55.666666666666664,1.0
367,dry,56.666666666666664,0.0
383,dry,51.333333333333336,1.0
398,dry,39.0,0.0
416,dry,54.0,0.0
431,dry,51.666666666666664,1.0
449,dry,51.333333333333336,0.0
464,rain,72.0,51.0
481,dry,60.0,0.0
495,rain,77.66666666666667,51.0
524,dry,57.0,0.0
540,dry,56.333333333333336,1.0
572,dry,69.33333333333333,3.0
556,dry,63.333333333333336,0.0
588,rain,82.33333333333333,51.0
602,dry,57.0,0.0
617,dry,54.0,0.0
663,dry,71.33333333333333,1.0
640,dry,57.666666666666664,0.0
652,dry,42.666666666666664,0.0
629,rain,81.0,51.0
687,dry,52.333333333333336,0.0
675,dry,57.0,0.0
696,rain,65.33333333333333,51.0
706,rain,70.66666666666667,51.0
716,rain,70.0,51.0
735,dry,47.666666666666664,1.0
744,dry,43.333333333333336,0.0
754,dry,60.0,3.0
763,dry,56.0,0.0
725,dry,54.333333333333336,2.0
774,dry,45.333333333333336,0.0
783,dry,49.666666666666664,0.0
791,dry,70.33333333333333,1.0
824,rain,78.66666666666667,51.0
798,dry,59.0,1.0
831,dry,60.0,0.0
853,dry,65.0,0.0
816,dry,42.333333333333336,0.0
872,dry,44.0,0.0
806,rain,64.33333333333333,51.0
839,dry,43.666666666666664,1.0
892,rain,71.0,51.0
938,dry,44.0,0.0
912,dry,66.66666666666667,1.0
961,dry,59.0,1.0
1002,dry,75.33333333333333,3.0
981,dry,43.666666666666664,0.0
1023,dry,58.333333333333336,0.0
1038,dry,53.666666666666664,0.0
1089,dry,48.0,0.0
14,dry,77.66666666666667,1.0
1065,dry,35.333333333333336,0.0
32,dry,75.33333333333333,1.0
351,rain,86.33333333333333,51.0
854,dry,82.33333333333333,0.0
873,dry,85.33333333333333,1.0
893,dry,78.0,1.0
939,dry,82.33333333333333,2.0
913,dry,79.33333333333333,1.0
962,dry,83.0,1.0
982,rain,89.0,51.0
1003,dry,68.0,0.0
1024,dry,76.66666666666667,2.0
1091,dry,78.33333333333333,2.0
88,dry,86.66666666666667,3.0
106,dry,96.66666666666667,1.0
15,dry,48.666666666666664,0.0
123,rain,98.33333333333333,51.0
69,dry,72.0,0.0
140,dry,83.0,0.0
173,rain,94.0,53.0
157,dry,90.0,0.0
190,dry,76.66666666666667,2.0
206,dry,90.0,0.0
222,dry,76.0,0.0
239,dry,91.66666666666667,0.0
255,dry,94.0,1.0
271,dry,96.66666666666667,3.0
287,dry,75.33333333333333,0.0
303,dry,62.0,0.0
319,dry,69.66666666666667,0.0
335,dry,92.33333333333333,1.0
386,dry,71.0,0.0
370,dry,93.66666666666667,1.0
352,dry,69.33333333333333,0.0
855,dry,52.0,1.0
914,dry,85.0,3.0
895,dry,42.0,0.0
964,dry,60.666666666666664,1.0
402,dry,81.66666666666667,3.0
